song,artist,release_year,composed,genre,appearances,also_performed_by,rating
"Songs of Travel, song cycle for voice & piano (or orchestra)~In Dreams",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Songs of Travel, song cycle for voice & piano (or orchestra)~Infinite Shining Heavens",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Songs of Travel, song cycle for voice & piano (or orchestra)~Let Beauty Awake",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Songs of Travel, song cycle for voice & piano (or orchestra)~Roadside Fire",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Songs of Travel, song cycle for voice & piano (or orchestra)~Vagabond",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Songs of Travel, song cycle for voice & piano (or orchestra)~Whither Must I Wander",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Songs of Travel, song cycle for voice & piano (or orchestra)~Youth and Love",Ralph Vaughan Williams,1993,Ralph Vaughan Williams,None,1,0,None
"Nutcracker, suite from the ballet, Op. 71a~Suite: Chinese Dance",Eugene Ormandy,1944,Pyotr Il'yich Tchaikovsky,Classical,1,0,2.6
"Il Trovatore, opera~Sol or siamo",Giuseppe Verdi,1937,Giuseppe Verdi,Classical,1,0,0.7
7,John Barry,1964,John Barry,Stage,11,16,4.6
The Battle of Kookamonga,Homer & Jethro,1959,Jimmie Driftwood,Country,7,1,3.925
The Soul of a Man,"Bobby ""Blue"" Bland",1977,"Bobby ""Blue"" Bland",Blues,4,1,3.5
Tracery,Nusrat Fateh Ali Khan,1990,Michael Brook,International,3,1,3.5
Soul Man in a Techno World,Red Grammer,2001,Red Grammer,None,1,0,None
Soupy Sez,Soupy Sales,2001,Soupy Sales,None,1,0,2
Soupy's Theme,Soupy Sales,2001,Soupy Sales,None,1,0,2
South Bound Water,Lonnie Johnson,Unknown,Lonnie Johnson,Jazz,9,0,4.216666667
South of the Border,Riders in the Sky,1996,Michael Carr,Country,1,120,4.3
Turn It Loose,The Judds,1987,Craig Bickhardt,Country,8,1,3.5
Woman to Woman,Tammy Wynette,1974,Billy Sherrill,Country,13,1,3.5
The Fear of Being Alone,Reba McEntire,1996,Walt Aldridge,Country,8,1,3.2375
"Nutcracker, suite from the ballet, Op. 71a~Suite: Russian Dance",Eugene Ormandy,1944,Pyotr Il'yich Tchaikovsky,Classical,1,0,2.6
"Nutcracker, suite from the ballet, Op. 71a~Suite: Waltz of the Flowers",Eugene Ormandy,1944,None,Classical,1,0,2.6
Occupation: Foole,George Carlin,1973,George Carlin,Comedy/Spoken,1,0,2.9
Southbound,Carrie Underwood,2018,David Garcia,None,16,0,4.5
Southbound,Doc Watson / Merle Watson,1971,Doc Watson,None,3,7,3.75
Southern Boys,Kate & Anna McGarrigle,1977,Kate McGarrigle,None,2,1,4.25
Southern Girl,Tim McGraw,2013,Rodney Clawson,None,7,1,3.5
On the Sunny Side of the Ocean,John Fahey,1965,John Fahey,Folk,6,0,2.9
The Best Day,Taylor Swift,2008,Taylor Swift,Country,10,1,3.8
Josie,Donovan,1965,Donovan,Folk,14,0,1.95
The Blizzard,Judy Collins,1990,Judy Collins,R&B,9,1,4
The Girl I Left Behind,Frankie Yankovic,1995,William Lausche,Easy,4,1,4
Space Kitten Invasion,Borgore / Sikdope,2015,Andrew Barlow,None,2,0,None
Jurassic Park,Weird Al Yankovic,1993,Jimmy Webb,Comedy/Spoken,6,0,1.9
Spanish Castles in Space,The Orb,1991,Dr. Alex Paterson,Electronic,1,0,3.9
The Last One to Know,Reba McEntire,1987,Matraca Berg,Country,10,1,3.371428571
Spanish Fandango,Mike Seeger,2007,Andrew Jenkins,None,1,0,4
Spanish Flea,Herb Alpert,1970,Julius Wechter,Pop/Rock,6,19,4.416666667
"Spanish Inquisition, Pt. 1",Monty Python,1971,Graham Chapman,None,2,0,4
Spanish Two-Step,John Fahey,1977,John Fahey,None,2,0,4
King of Suede,Weird Al Yankovic,1984,Weird Al Yankovic,Comedy/Spoken,1,0,2.4
Sparks Fly,Taylor Swift,2010,Taylor Swift,None,6,9,3.75
"Spartacus, film score~Love Theme",Cincinnati Pops Orchestra / Erich Kunzel,1993,Alex North,None,2,3,3.75
"Spartacus, film score~Love Theme",Cincinnati Pops Orchestra / Erich Kunzel,1993,Alex North,None,2,3,3.75
Onamission,Coldcut,1995,Matt Black,Electronic,3,0,2.9
Ontario Blues,Elizabeth Cotten,1965,Elizabeth Cotten,Folk,2,0,2.75
Speak Softly Love,Andy Williams,1972,Larry Kusic,Vocal,23,20,4.1875
The Man Who Couldn't Cry,Loudon Wainwright III,1973,Loudon Wainwright III,Pop/Rock,4,1,4
"La bohème, opera~O Soave Fanciulla (Love Duet)",André Kostelanetz,1929,Giacomo Puccini,Classical,1,0,2.1
Speech and Ambulation,Mouse on Mars,2021,Mouse on Mars,None,1,0,4.5
Speedy Gonzales,Soupy Sales,1965,Hy Gilbert,None,1,0,4.5
Spellbound,Esquivel,1958,Miklós Rózsa,None,2,12,4.25
Laughing Quarter,Autechre,1997,Sean Booth,Electronic,2,0,2.4
Spiegel Im Spiegel,Arvo Pärt,2013,Arvo Pärt,None,1,14,None
Spiegel Im Spiegel,Arvo Pärt,2013,Arvo Pärt,None,1,14,None
Spineless Jelly,The Future Sound of London,1994,Garry Cobain,Electronic,4,0,3.4
Spirit Healer,Heather Bishop,1987,Heather Bishop,None,1,0,5
Praise The Lord,Paul Oakenfold,2006,Ian Green,Electronic,1,0,1.4
splesh,Autechre,2018,Ronald Bronstein,None,2,0,4.25
Splish Splash,Jimmy Sturr,2004,Bobby Darin,None,1,10,3.5
Spor,Charlie Haden,1979,Jan Garbarek,None,1,2,4
Spread Yuh Leg,Arrow,1992,None,None,3,0,None
Spring Break Anthem,The Lonely Island,2013,Syed Shabi Naqvi,None,2,0,3.5
The Last One to Know,Reba McEntire,1987,Matraca Berg,Country,10,1,3.371428571
Springtime,Spinal Tap,1992,Derek Smalls,None,1,0,2
Sprite: Melonball Bounce (Instr.),Raymond Scott,2000,Raymond Scott,None,1,0,4.5
Massachusetts,Arlo Guthrie,1976,Arlo Guthrie,Folk,4,0,2.125
St. Anthony Of Padua Preaches To The Fishes (after Mahler),Uri Caine / Gustav Mahler,2004,Uri Caine,None,1,0,4
St. Augustine,Beppe Gambetta / Patty Larkin,2010,Patty Larkin,None,1,2,4
St. James Infirmary Blues,Yo-Yo Ma / Silkroad Ensemble,2016,Traditional,None,1,15,4.5
St. Louis Blues,Bob Wills,1989,W.C. Handy,None,3,1025,3
St. Louis Tickle,Dave Van Ronk,2015,Traditional,None,1,2,3.5
"Ständchen, D. 920",Bernard Ringeissen,2007,Cheryl Dawdy,None,1,0,None
The New Hula Blues,Taj Mahal,1998,Taj Mahal,Blues,4,1,3.875
The Ride,David Allan Coe,1974,"J.B. Detterline, Jr.",Country,20,1,3.225
Owai,Mouse on Mars,1997,Andi Toma,Electronic,2,0,2.65
Stand by Me,Royal Philharmonic Orchestra,1996,Ben E. King,None,9,245,None
Stand by Me,Royal Philharmonic Orchestra,1996,Ben E. King,None,9,245,None
The Pill,Loretta Lynn,1975,Loretta Lynn,Country,14,1,3.688888889
Perpetual Dawn,The Orb,1991,Dr. Alex Paterson,Electronic,4,0,2.525
MAW Expensive (A Tribute to Fela),Masters at Work,1999,Fela Kuti & Africa 70,Electronic,2,0,2.15
Monasterio de Sal,Paco de Lucía,1981,Francisco Sánchez Gómez,Happy,8,0,2.25
Standing Outside the Fire,Garth Brooks,1993,Garth Brooks,Country,6,13,4.1
Star,Jan Garbarek,1991,Jan Garbarek,International,2,1,4.25
"L' oiseau de feu (The Firebird), concert suite for orchestra No. 2~Finale",Leonard Bernstein / New York Philharmonic,1930,Leonard Bernstein,Classical,1,0,1.7
Star Bright,Liberace,2006,Cole Porter,None,9,0,None
"Star Light, Star Bright/Bye 'N Bye/Twinkle, Twinkle, Little Star","Sharon, Lois & Bram",1978,Traditional,None,3,0,3
Star Wars Episode III: Revenge of the Sith~A New Hope and End Credits,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~A New Hope and End Credits,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~A New Hope and End Credits,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~A New Hope and End Credits,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Anakin's Dream,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Anakin's Dream,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Anakin's Dream,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Anakin's Dream,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Palpatine's Teachings,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Palpatine's Teachings,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Palpatine's Teachings,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode III: Revenge of the Sith~Palpatine's Teachings,London Symphony Orchestra / London Voices / John Williams,2005,John Williams,None,2,0,4.75
Star Wars Episode V: The Empire Strikes Back~The Asteroid Field,,1980,John Williams,Stage,1,1,None
Star Wars Episode V: The Empire Strikes Back~The Asteroid Field,,1980,John Williams,Stage,1,1,4.25
The Sky,Mannheim Steamroller,1979,Chip Davis,New,6,1,3.6
Phantom,Justice,2007,Gaspard Augé,Electronic,2,0,2.9
"Star Wars, Episode I: The Phantom Menace, film score~Duel of the Fates",John Williams,1941,John Williams,Classical,2,6,3.1
Monsters I've Met,Shel Silverstein,1985,Shel Silverstein,Comedy/Spoken,2,0,2.15
Precious Tears,Larry Heard,1995,Larry Heard,Bravado,6,0,3
"Star Wars, Episode IV: A New Hope, film score~Cantina Band",Erich Kunzel,1946,Vince Guaraldi,Classical,1,0,None
"Star Wars, Episode IV: A New Hope, film score~Cantina Band",London Symphony Orchestra,1917,John Williams,Classical,2,3,3.6
"Star Wars, Episode IV: A New Hope, film score~Cantina Band",London Symphony Orchestra,1917,John Williams,Classical,2,3,3.6
"Star Wars, Episode IV: A New Hope, film score~Main Theme",Erich Kunzel,1946,Vince Guaraldi,Classical,1,0,None
At the Woodchopper's Ball,Canadian Brass,1995,Joe Bishop,Easy,1,16,5
At the Woodchopper's Ball,Canadian Brass,1995,Joe Bishop,Easy,1,16,4.5
At the Woodchopper's Ball,Canadian Brass,1995,Joe Bishop,Easy,1,16,4.5
Star Wars~Main Theme,Boston Pops Orchestra / John Williams,1980,John Williams,Stage,1,14,4.071428571
These Arms,Dwight Yoakam,1998,Dwight Yoakam,Country,5,1,3.425
Thoughts of a Fool,Ernest Tubb,1970,Mel Tillis,Country,5,1,3.3
Star Wars~Main Title,Utah Symphony,1983,John Williams,Stage,3,18,4.25
Star Wars~Main Title,Utah Symphony,1983,John Williams,Stage,3,18,4.166666667
The War Is Over,Phil Ochs,1968,Phil Ochs,Pop/Rock,7,1,4
Stardust,Liberace,1990,Hoagy Carmichael,None,8,1001,3.5
Township Jive,Ladysmith Black Mambazo,1989,Ray Phiri,International,5,1,3.25
Bean Time,Leo Kottke,1972,Leo Kottke,Folk,4,0,1.5
"Starlight, Starbright",Bob McGrath,2000,Public Domain,None,1,1,4
Lazy Sunday,The Lonely Island,2008,Chris Parnell,Comedy/Spoken,1,0,1.9
Stars,Nightmares on Wax,1995,George Evelyn,None,4,0,3.5
Tonight I Climbed the Wall,Alan Jackson,1992,Alan Jackson,Country,9,1,3.716666667
Too Much on My Heart,The Statler Brothers,1985,Jimmy Fortune,Country,8,1,3.657142857
Township Jive,Ladysmith Black Mambazo,1989,Ray Phiri,International,5,1,3.25
Turn Me Loose,Vince Gill,1989,Vince Gill,Country,9,1,3.014285714
Two People Fell in Love,Brad Paisley,2001,Kelley Lovelace,Country,4,1,3.466666667
Starving to Death on the Government Claim,Nancy Blake / Norman Blake,1996,Norman Blake,None,1,0,4.5
Unbroken,Tim McGraw,2001,Holly Lamar,Country,9,1,3.3
State of Grace,Taylor Swift,2012,Taylor Swift,None,8,1,4.25
Triumph of a Heart,Björk,2004,Björk,Pop/Rock,3,1,4
More Beats & Pieces,Coldcut,1997,Matt Black,Electronic,7,0,2.066666667
Wanted,Alan Jackson,1989,Charlie Craig,Country,6,1,3.425
Steal Away,Chanticleer,2012,Traditional Spiritual,None,2,2,None
Ramblin',The New Christy Minstrels,1963,Randy Sparks,Folk,6,0,2.583333333
Stella By Artois,Kate & Anna McGarrigle,1978,Kate McGarrigle,None,1,1,3.5
Step Into the Light,Patty Larkin,1985,Angel C.,None,1,0,2.5
Steppin' on the Blues,Lonnie Johnson,1990,Lonnie Johnson,Blues,7,0,4.2
Steppin' Out,Memphis Slim,1995,Peter Chatman,None,20,0,3.5
Still Feeling Blue,Gram Parsons,1973,Gram Parsons,Pop/Rock,7,9,4.428571429
Still I Long for Your Kiss,Lucinda Williams,1998,Duane Jarvis,Country,2,0,4.3
Still Trying to Care,Steve Goodman,1980,Peter Bunetta,None,3,0,3.833333333
"Stille Nacht, heilige Nacht (Silent Night)",Kiri Te Kanawa,1985,Franz Gruber,None,1,46,None
"Stille Nacht, heilige Nacht (Silent Night)",Kathleen Battle / Wynton Marsalis Septet,1991,Franz Gruber,None,1,182,4.5
"Stille Nacht, heilige Nacht (Silent Night)",Eugene Ormandy / Philadelphia Orchestra / Temple University Concert Choir,1986,Franz Gruber,None,1,182,4.5
"Stille Nacht, heilige Nacht (Silent Night)",Cambridge Singers / City of London Sinfonia / John Rutter,1989,Franz Gruber,None,3,46,4.25
"Stille Nacht, heilige Nacht (Silent Night)",Leontyne Price,1995,Franz Gruber,None,2,182,3.75
When I Get My Wings,Billy Joe Shaver,1976,Billy Joe Shaver,Country,5,1,4
"Go Tell It on the Mountain, Christmas song (American)",Canadian Brass,2003,Traditional,Easy,1,16,4.5
Little Fluffy Clouds,The Orb,1996,None,Electronic,23,0,1.9
"Willie, Waylon and Me",David Allan Coe,1977,David Allan Coe,Country,21,1,3.366666667
Wrapped Around,Brad Paisley,2001,Christophe Dubois,Country,4,1,3.3
The Secret of Christmas,Julie Andrews,1982,Sammy Cahn,Romantic,3,16,4.642857143
Stoning,Monty Python,1979,Graham Chapman,None,2,0,4.5
You're the First Time I've Thought About Leaving,Reba McEntire,1982,Kerry Chater,Country,10,1,3.157142857
Ain't Got No Honey Baby Now,Elizabeth Cotten,1958,Elizabeth Cotten,Folk,2,0,2.5
Stop This Crazy Thing,Coldcut,1989,Matt Black,None,1,1,3
"Stop Your Tickling, Jock",Dr. Demento,2020,Benny Bell,None,1,0,None
Stops Along the Way,Bob Gibson,1995,Bob Gibson,None,1,0,3
Stops Along the Way,Bob Gibson,1995,Bob Gibson,None,1,0,3
Stories Live,Fred Penner / Toddler's Next Steps,2002,Fred Penner,None,1,1,3
Living With a Hernia,Weird Al Yankovic,1986,Dan Hartman,Comedy/Spoken,7,0,1.816666667
You're the First Time I've Thought About Leaving,Reba McEntire,1982,Kerry Chater,Country,10,1,3.157142857
(Lost Her Love) On Our Last Date,Conway Twitty,1972,Floyd Cramer,Country,29,0,3.3625
When My Left Eye Jumps,Buddy Guy,1967,Willie Dixon,Blues,16,1,3.909090909
When You Come Back to Me Again,Garth Brooks,2001,Garth Brooks,Country,4,1,3.675
Strangely Wrapped Gift,Red Grammer,2001,Red Grammer,None,1,0,None
White Winos,Loudon Wainwright III,2000,Loudon Wainwright III,Pop/Rock,3,1,4
Streamline,Jimmy Sturr,2002,John Mayall,None,1,0,2.5
Street Life,Herb Alpert,1979,Will Jennings,Easy,2,36,4.25
Street Scene,Esquivel,1962,Alfred Newman,None,1,0,4
Wild Horses,Garth Brooks,1990,Bill Shore,Country,4,1,3.966666667
"Streetlight (Marseille, August 1999)",Ottmar Liebert,2008,Ottmar Liebert,None,1,0,None
A Gay Ranchero,Roy Rogers,2001,Dale Evans,Country,6,0,3.05
A Tisket a Tasket,Ella Fitzgerald,1937,Matty Malneck,Jazz,52,0,3.064705882
Streets of Baltimore,Gram Parsons,1990,Tompall Glaser,Pop/Rock,6,22,4.25
I'll Be Home for Christmas,Reba McEntire,1987,Kim Gannon,Holiday,11,0,2.916666667
String Quartet No. 1,,2019,Béla Bartók,None,1,0,None
String Quartet No. 2,,2019,Béla Bartók,None,1,0,None
String Quartet No. 3,,2019,Béla Bartók,None,1,1,None
String Quartet No. 4,Béla Bartók,2005,Béla Bartók,None,2,0,None
String Quartet No. 5,,2019,Béla Bartók,None,1,0,None
String Quartet No. 6,,2019,Béla Bartók,None,1,0,None
Strolling Down the Highway,Bert Jansch,1965,Bert Jansch,Pop/Rock,10,4,4.083333333
Studio Outtakes From The 1955 Goldberg Variations Recording Session,Glenn Gould,2002,Johann Sebastian Bach,None,1,0,4.5
Subterrainea,Infiniti,1998,Juan Atkins,None,1,1,4.5
Such a Getting Upstairs,Mike & Peggy Seeger,1977,Jean-Michel Jarre,None,1,0,4
Wish I Didn't Know Now,Toby Keith,1993,Toby Keith,Country,8,1,3.6
Asta e poteca mea,Gheorghe Zamfir,1990,Gheorghe Zamfir,Easy,1,0,2
Sugar,Roy Ayers,2004,Roy Ayers,None,6,0,3.5
Sugar Baby,Dock Boggs,1997,Traditional,Blues,7,17,4.142857143
Sugar Daddy,Sturgill Simpson,2016,Sturgill Simpson,None,2,0,3
Silver Bells,Burl Ives,1965,Ray Evans,Sentimental,12,0,2.928571429
Suicide is Painless (Theme From M*a*s*h),Dr. Demento / JuiceheaD,2018,Benny Bell,None,1,0,3.5
Suite Espanola No. 1 Op. 47~Sevilla,Andrés Segovia,1988,Isaac Albéniz,None,2,0,4.5
Rudolph the Red-Nosed Reindeer,Bing Crosby,1992,Traditional,Happy,42,0,1.428571429
Irene & The Morrow,Michael Nyman,1937,Michael Nyman,Classical,1,0,0.7
Suite for solo cello~1. Quasi candenza (quarter note = 80),Yo-Yo Ma,1999,Edgar Meyer,None,1,0,None
Suite for solo cello~2. Quarter note = 96,Yo-Yo Ma,1999,Edgar Meyer,None,1,0,None
"Suite No. 1 for Cello in G-Major, Preludium",,1983,Johann Sebastian Bach,None,1,0,4
"Suite No. 6 in C Major, BWV 1009~Courante",Andrés Segovia,1994,Johann Sebastian Bach,None,3,0,None
"Suite No. 6 in C Major, BWV 1009~Courante",Andrés Segovia,1994,Johann Sebastian Bach,None,3,0,None
"Suite No. 6 in D Major, BWV 1012~Gavottes I & II",Andrés Segovia,1994,Johann Sebastian Bach,None,3,0,None
"Suite No. 6 in D Major, BWV 1012~Gavottes I & II",Andrés Segovia,1994,Johann Sebastian Bach,None,3,0,None
Suliram,Miriam Makeba,1960,None,None,8,0,4
Summersault,Paul Oakenfold / Natasha Pearl / The Taste Xperience,1999,N.A. Palmer,Brooding,3,1,4
Summertime Blues,Alan Jackson,1994,Jerry Capehart,Country,7,116,4.2
Airproofing,Leo Kottke,1976,Leo Kottke,Folk,4,0,2.5
Summon the Heroes,Boston Pops Orchestra,1996,John Williams,None,1,2,4
Summon the Heroes,Boston Pops Orchestra,1996,John Williams,None,1,2,4
Summon the Heroes,Boston Pops Orchestra,1996,John Williams,None,1,2,4
SUN,Mouse on Mars,2012,Andi Toma,None,1,0,3.5
"Sun Rings, for String Quartet, Chorus and Pre-Recorded Spacescapes~Earth Whistlers",Kronos Quartet,2019,Terry Riley,None,1,0,4
"Sun Rings, for String Quartet, Chorus and Pre-Recorded Spacescapes~Hero Danger",Kronos Quartet,2019,Terry Riley,None,1,0,4
"Sun Rings, for String Quartet, Chorus and Pre-Recorded Spacescapes~The Electron Cyclotron Frequency Parlour",Kronos Quartet,2019,Terry Riley,None,1,0,4
You Can't Relive the Past,Eric Andersen,2000,Eric Andersen,Pop/Rock,1,1,3.9
All Alone Am I,Brenda Lee,1991,None,Country,46,0,3.3
Sunday's Child,John Martyn,1974,John Martyn,None,11,1,3.5625
4 Box Square,Johnny Clegg,2006,Johnny Clegg,International,1,0,4
All of Me,Billie Holiday,1956,Maceo Pinkard,Jazz,99,0,3.188888889
Train of Love,Johnny Cash,1958,Johnny Cash,Pop/Rock,98,16,4.5
Babalu,Yma Sumac,1996,Margarita Lecuona,Happy,1,0,2.5
Sunrise Cajun Style,"Clarence ""Gatemouth"" Brown",1975,Hoyt Garrick,None,4,0,3.25
"Nudge, Nudge",Monty Python,1970,Monty Python,Comedy/Spoken,4,0,2.233333333
Sunset on Prince George's County,John Fahey,1984,John Fahey,None,2,0,3.25
Sunshine,Jonathan Edwards,1990,Jonathan Edwards,Pop/Rock,14,6,4.214285714
Sunshine (Go Away Today),Jonathan Edwards,2005,Jonathan Edwards,None,5,0,3.333333333
Live Forever,Billy Joe Shaver,1995,Billy Joe Shaver,Sentimental,1,17,4.833333333
Bean Time,Leo Kottke,1972,Leo Kottke,Folk,4,0,2.5
Supercalifragilisticexpialidocious,Julie Andrews / The Pearlie Chorus / Dick Van Dyke,2009,Richard M. Sherman,None,7,39,3.5
Superman~Theme from Superman (Main Title),London Symphony Orchestra,1978,John Williams,None,1,0,4.5
Sur La Plage,Sandy Duncan / Ensemble / Harvey Evans,1970,Sandy Wilson,None,1,1,3.5
Surely God Is Able,Chanticleer / Rev. Yvette Flunder,2004,Charles Ives,None,1,0,3.5
A Better Tomorrow,Dan the Automator,2000,Dan Nakamura,Pop/Rock,1,0,4
Surrender,Hariprasad Chaurasia,2011,Hariprasad Chaurasia,None,3,0,None
Biscaya,James Last,1993,Traditional,Easy,13,0,2
Susan When She Tried,The Statler Brothers,1975,Don Reid,Country,5,3,4.05
A Christmas to Remember,Amy Grant,1999,Beverly Darnall,Pop/Rock,12,0,3.916666667
"Evergreen (Love Theme From ""A Star Is Born"")",Kris Kristofferson / Barbra Streisand,1976,Barbra Streisand,Pop/Rock,1,18,4.9
Baby Please Don't Go,Lightnin' Hopkins,1972,Richard M. Jones,Blues,13,0,3.25
Baby What You Want Me to Do,Jimmy Reed,1990,Jimmy Reed,Blues,39,0,3.142857143
Danny Boy,Ray Price,1967,Frederick Edward Weatherly,Country,9,0,2.8
Big Mob on the Hill,Leo Kottke,1991,Leo Kottke,Folk,2,0,2.5
Guilty,Barbra Streisand,1980,Barry Gibb,Pop/Rock,3,18,4.5
Suzanne,Harry Belafonte,1960,None,None,15,0,4
Suzanne,Chad Mitchell,1967,Leonard Cohen,None,2,91,3.5
Revolt of the Dyke Brigade,John Fahey,1967,John Fahey,Folk,6,0,2.7
Ripples,The Orb,2005,Thomas Fehlmann,Electronic,3,0,2.9
Svevende,Jan Garbarek / Bobo Stenson Quartet,1975,Jan Garbarek,None,2,1,3.5
Swan Lake/Spanish Dance,Leonard Bernstein / New York Philharmonic,1990,Pyotr Il'yich Tchaikovsky,None,1,0,3
Sweet Dreams,Emmylou Harris,1975,Don Gibson,None,11,94,4.111111111
Banana Boat Song (Day-O),Harry Belafonte,1974,None,International,15,0,3.25
Sweet Home Chicago,Pinetop Perkins,2000,Robert Johnson,None,2,111,2.75
Beer Run (B Double E Double Are You In?),Garth Brooks / George Jones,2001,Keith Anderson,Country,3,0,3.133333333
Sweet Li'l Jesus,Herbert von Karajan / Leontyne Price,1961,Traditional,None,2,0,None
Sweet Little Mystery,John Martyn,1980,John Martyn,None,19,6,3.233333333
Sweet Lotus Blossom,Jimmy Witherspoon,1988,Jimmy Witherspoon,None,3,0,2.5
Sweet Lovin' Baby,Jimmy Witherspoon,1993,Jimmy Witherspoon,None,6,2,3.7
Ain't Going Down ('Til The Sun Comes Up),Garth Brooks,1993,Kent Blazy,Country,3,0,3.8
Ali's Here,Ali Farka Touré,1999,Ali Farka Touré,International,3,0,4
All Your Love,Otis Rush,1977,Willie Dixon,Blues,13,0,3.75
Sweet Prospect,Anonymous 4,2004,Samuel Stennett,None,1,1,4.5
Sweet Prospect,Anonymous 4,2004,Samuel Stennett,None,1,1,4.5
"On the Town, musical~I Can Cook Too",Leonard Bernstein,1946,Leonard Bernstein,Classical,1,0,2.2
Sweet Songs of Christmas,Canadian Brass,1994,Chris Dedrick,None,4,2,3.25
Sweet Songs of Christmas,Canadian Brass,1994,Chris Dedrick,None,4,2,3.25
Sweet Songs of Christmas,Canadian Brass,1994,Chris Dedrick,None,4,2,3.25
Sweet Sucker,Houston Person,1997,J.A. Griffin,None,2,1,3
Sweet Water Rolling,Mike & Peggy Seeger,1977,Traditional,None,1,0,4
Swing Me an Old Fashioned Song,Shirley Temple,1992,Irving Caesar,None,7,0,2.5
Blackberry Boogie,Tennessee Ernie Ford,2004,Terry Gilkyson,Country,19,0,3.05
Blossom/Meadow,George Winston,1982,George Winston,New,5,0,3.375
Blue Christmas,Ernest Tubb,1959,Ernest Tubb,Holiday,25,0,3.333333333
Blue Shadows On The Trail,Roy Rogers,2001,Betty Craig,Country,12,0,3.3
"Symphony No. 2 in C minor (""Resurrection"")~Der Grosse Appell (Conclusion)",Kathleen Battle / Maureen Forrester / Leonard Slatkin / St. Louis Symphony Orchestra,1993,Gustav Mahler,None,1,0,3
"Symphony No. 39 in E-Flat Major, K. 543~1. Adagio - Allegro",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,10,None
"Symphony No. 39 in E-Flat Major, K. 543~2. Andante con moto",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,10,None
"Symphony No. 39 in E-Flat Major, K. 543~3. Menuetto (Allegretto)",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,6,None
"Symphony No. 39 in E-Flat Major, K. 543~4. Finale (Allegro)",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,4,None
"Symphony No. 4 in G major~1. Bedächtig, Nicht Eilen",Gustav Mahler,1994,Gustav Mahler,None,1,6,4
Symphony No. 4 in G major~2. In Gemächlicher Bewegung.Ohne Hast,Gustav Mahler,1994,Gustav Mahler,None,1,0,4
Symphony No. 4 in G major~3. Ruhevoll,Gustav Mahler,1994,Gustav Mahler,None,1,4,4
Symphony No. 4 in G major~4. Sehr Behaglich,Gustav Mahler,1994,Gustav Mahler,None,1,5,4
"Symphony No. 40 in G minor, K. 550~1. Molto allegro",Karl Böhm / Wiener Philharmoniker,1985,Wolfgang Amadeus Mozart,None,1,28,None
"Symphony No. 40 in G Minor, K. 550~3. Menuetto (Allegretto) - Trio",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,7,None
"Symphony No. 40 in G Minor, K. 550~4. Finale (Allegro assai)",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,11,None
"Symphony No. 41 in C Major, K. 551 - ""Jupiter""~1. Allegro vivace",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,7,None
"Symphony No. 41 in C Major, K. 551 - ""Jupiter""~2. Andante cantabile",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,7,None
"Symphony No. 41 in C Major, K. 551 - ""Jupiter""~3. Menuetto (Allegretto)",Berlin Philharmonic Orchestra / Karl Böhm,2018,Wolfgang Amadeus Mozart,None,1,2,None
